"id";"quote";"author"
1;"A good objective of leadership is to help those who are doing poorly to do well and to help those who are doing well to do even better.";"Jim Rohn"
2;"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.";"Lao Tzu"
3;"There will always be a few people who have the courage to love what is untamed inside us. One of those men is my father.";"Alison Lohman"
4;"‘Daddy,’ I whispered, feeling my own breath hitch in my throat. ‘I love you.’ Just when I was sure he was asleep, the one corner of his mouth lifted in a smile. ‘I knew that,’ he murmured. ‘Always knew that.’";"Morgan Matson"
5;"Blessed indeed is the man who hears many gentle voices call him father.";"Lydia Maria Child"
6;"The best fathers have the softest, sweetest hearts. In other words, great dads are real marshmallows.";"Richelle E. Goodrich"
7;"I began to see that he was flawed. We are all flawed, but it is a powerful moment when you realize that about your parents. Still, I loved him no less for it. I know I have flaws, and my children are free to realize this and make their own corrections.";"Ziauddin Yousafzai"
8;"When I was small, I felt like a superhero as my father threw me up in the air. Now after reaching this success peak, I unmask — real superhero made me superhero!";"Hasil Paudyal"
9;"'There's something beautiful about a mother’s embrace. And there's something magical about a father’s affirmations.'";"Hendrith Vanlon Smith Jr."
10;"A father is the one friend upon whom we can always rely.";"Emile Gaboriau"
11;"The nature of impending fatherhood is that you are doing something that you’re unqualified to do, and then you become qualified while doing it.";"John Green"
12;"Any man can be a father, but it takes someone special to be a dad.";"Anne Geddes"
13;"'Dear Daddy, no matter where I go in life, you'll always be my number one man.'";"Unknown"
14;"My father taught me not to overthink things, that nothing will ever be perfect, so just keep moving, and do your best.";"Scott Eastwood"
15;"'He was a father. That's what a father does. Eases the burdens of those he loves.'";"George Saunders"
16;"'You see, my father taught me that even our most profound losses are survivable. And that is — it is what we do with that loss — our ability to transform it into a positive event — that is one of my father's greatest lessons. He taught me that nothing is impossible.'";"Ted Kennedy Jr."
17;"To her, the name of father was another name for love.";"Fanny Fern"
18;"When you need real understanding, when you need someone to care, when you need someone to guide you … A father’s always there.";"Thomas J. Langley"
19;"There’s no shame in fear, my father told me, what matters is how we face it.";"George R.R. Martin"
20;"'In my career, there's many things I've won and many things I've achieved, but for me, my greatest achievement is my children and my family. It's about being a good father, a good husband, just being connected to family as much as possible.'";"David Beckham"
21;"It was my father who taught me to value myself. He told me that I was uncommonly beautiful and that I was the most precious thing in his life.";"Dawn French"
22;"'If there is any immortality to be had among us human beings, it is certainly only in the love that we leave behind. Fathers like mine don't ever die.'";"Leo Buscaglia"
23;"Every father should remember, one day, his son will follow his example, not his advice.";"Charles Kettering"
24;"'I've said it before, but it's absolutely true: My mother gave me my drive, but my father gave me my dreams. Thanks to him, I could see a future.'";"Liza Minnelli"
25;"An almost perfect relationship with his father was the earthly root of all wisdom.";"C.S. Lewis"
26;"'It's only when you grow up and step back from him — or leave him for your own home — it's only then that you can measure his greatness and fully appreciate it.'";"Margaret Truman"
27;"'By the time a man realizes that maybe his father was right, he usually has a son who thinks he's wrong.'";"Charles Wadsworth"
28;"'He adopted a role called 'Being a Father' so that his child would have something mythical and infinitely important: a protector.'";"Tom Wolfe"
29;"Sometimes, the poorest man leaves his children the richest inheritance.";"Ruth E. Renkel"
30;"'Being a daddy's girl is like having permanent armor for the rest of your life.'";"Marinela Reka"
31;"'Anyone can be a father, but it takes someone special to be a dad, and that's why I call you dad because you are so special to me. You taught me the game, and you taught me how to play it right.'";"Wade Boggs"
32;"The quality of a father can be seen in the goals, dreams, and aspirations he sets not only for himself, but for his family.";"Reed Markham"
33;"My father gave me the greatest gift anyone could give another person: He believed in me.";"Jim Valvano"
34;"'I believe that what we become depends on what our fathers teach us at odd moments, when they aren't trying to teach us. We are formed by the little scraps of wisdom.'";"Umberto Eco"
35;"Dads are most ordinary men turned by love into heroes, adventurers, story-tellers, and singers of song.";"Pam Brown"
36;"It is not flesh and blood, but the heart which makes us fathers and sons.";"Johann Friedrich von Schiller"
37;"'I've jumped out of helicopters and done some daring stunts and played baseball in a professional stadium, but none of it means anything compared to being somebody's daddy.'";"Chris Pratt"
38;"'The strongest, toughest men all have compassion. They're not heartless and cold. You have to be man enough to have compassion — to care about people and about your children.'";"Denzel Washington"
39;"When you meet your kids, you realize that they deserve great parents. And then you have your marching orders, and you have to try and become the person that they deserve.";"Ryan Gosling"
40;"A father’s smile has been known to light up a child’s entire day.";"Susan Gale"
41;"A father is neither an anchor to hold us back, nor a sail to take us there, but a guiding light whose love shows us the way.";"Unknown"
42;"My father didn’t do anything unusual. He only did what dads are supposed to do — be there.";"Max Lucado"
43;"'A father doesn't tell you that he loves you. He shows you.'";"Dimitri The Stonehear"
44;"She did not stand alone, but what stood behind her, the most potent moral force in her life, was the love of her father.";"Harper Lee"
45;"There will always be a few people who have the courage to love what is untamed inside us. One of those men is my father.";"Alison Lohman"
